"Translocations","Replicate","Seed","Status","Final_LGs","Retained_OGs","Error_Detail"
100,1,60778,"SUCCESS",15,4365,NA
100,10,60787,"SUCCESS",15,4297,NA
100,100,60877,"SUCCESS",15,4253,NA
100,11,60788,"SUCCESS",15,4496,NA
100,12,60789,"SUCCESS",15,4303,NA
100,13,60790,"SUCCESS",15,4401,NA
100,14,60791,"SUCCESS",15,4374,NA
100,15,60792,"SUCCESS",15,4456,NA
100,16,60793,"SUCCESS",15,4280,NA
100,17,60794,"SUCCESS",15,4306,NA
100,18,60795,"SUCCESS",15,4295,NA
100,19,60796,"SUCCESS",15,4446,NA
100,2,60779,"SUCCESS",15,4383,NA
100,20,60797,"SUCCESS",15,4293,NA
100,21,60798,"SUCCESS",15,4369,NA
100,22,60799,"SUCCESS",15,4405,NA
100,23,60800,"SUCCESS",15,4336,NA
100,24,60801,"SUCCESS",15,4437,NA
100,25,60802,"SUCCESS",15,4314,NA
100,26,60803,"SUCCESS",15,4307,NA
100,27,60804,"SUCCESS",15,4445,NA
100,28,60805,"SUCCESS",15,4212,NA
100,29,60806,"SUCCESS",15,4403,NA
100,3,60780,"SUCCESS",15,4300,NA
100,30,60807,"SUCCESS",15,4823,NA
100,31,60808,"SUCCESS",15,4287,NA
100,32,60809,"SUCCESS",15,4421,NA
100,33,60810,"SUCCESS",15,4367,NA
100,34,60811,"SUCCESS",15,4899,NA
100,35,60812,"SUCCESS",15,4204,NA
100,36,60813,"SUCCESS",15,4269,NA
100,37,60814,"SUCCESS",15,4191,NA
100,38,60815,"SUCCESS",16,4315,NA
100,39,60816,"SUCCESS",15,4338,NA
100,4,60781,"SUCCESS",15,4251,NA
100,40,60817,"SUCCESS",15,4322,NA
100,41,60818,"SUCCESS",15,4354,NA
100,42,60819,"SUCCESS",15,4265,NA
100,43,60820,"SUCCESS",15,4322,NA
100,44,60821,"SUCCESS",15,4163,NA
100,45,60822,"SUCCESS",15,4385,NA
100,46,60823,"SUCCESS",15,4311,NA
100,47,60824,"SUCCESS",15,4358,NA
100,48,60825,"SUCCESS",15,4341,NA
100,49,60826,"SUCCESS",15,4321,NA
100,5,60782,"SUCCESS",15,4325,NA
100,50,60827,"SUCCESS",15,4361,NA
100,51,60828,"SUCCESS",15,4300,NA
100,52,60829,"SUCCESS",15,4791,NA
100,53,60830,"SUCCESS",15,4406,NA
100,54,60831,"SUCCESS",15,4252,NA
100,55,60832,"SUCCESS",15,4836,NA
100,56,60833,"SUCCESS",15,4374,NA
100,57,60834,"SUCCESS",15,4279,NA
100,58,60835,"SUCCESS",15,4269,NA
100,59,60836,"SUCCESS",15,4387,NA
100,6,60783,"SUCCESS",15,4364,NA
100,60,60837,"SUCCESS",15,4351,NA
100,61,60838,"SUCCESS",15,4245,NA
100,62,60839,"SUCCESS",15,4309,NA
100,63,60840,"SUCCESS",15,4415,NA
100,64,60841,"SUCCESS",15,4263,NA
100,65,60842,"SUCCESS",15,4369,NA
100,66,60843,"SUCCESS",15,4398,NA
100,67,60844,"SUCCESS",15,4384,NA
100,68,60845,"SUCCESS",15,4350,NA
100,69,60846,"SUCCESS",15,4269,NA
100,7,60784,"SUCCESS",15,4426,NA
100,70,60847,"SUCCESS",15,4303,NA
100,71,60848,"SUCCESS",15,4256,NA
100,72,60849,"SUCCESS",15,4302,NA
100,73,60850,"SUCCESS",15,4316,NA
100,74,60851,"SUCCESS",15,4192,NA
100,75,60852,"SUCCESS",15,4342,NA
100,76,60853,"SUCCESS",15,4388,NA
100,77,60854,"SUCCESS",15,4786,NA
100,78,60855,"SUCCESS",15,4390,NA
100,79,60856,"SUCCESS",15,4216,NA
100,8,60785,"SUCCESS",15,4335,NA
100,80,60857,"SUCCESS",15,4257,NA
100,81,60858,"SUCCESS",15,4273,NA
100,82,60859,"SUCCESS",15,4314,NA
100,83,60860,"SUCCESS",15,4295,NA
100,84,60861,"SUCCESS",15,4355,NA
100,85,60862,"SUCCESS",15,4372,NA
100,86,60863,"SUCCESS",15,4272,NA
100,87,60864,"SUCCESS",15,4275,NA
100,88,60865,"SUCCESS",15,4315,NA
100,89,60866,"SUCCESS",15,4311,NA
100,9,60786,"SUCCESS",15,4364,NA
100,90,60867,"SUCCESS",15,4426,NA
100,91,60868,"SUCCESS",15,4342,NA
100,92,60869,"SUCCESS",15,4341,NA
100,93,60870,"SUCCESS",15,4299,NA
100,94,60871,"SUCCESS",15,4295,NA
100,95,60872,"SUCCESS",15,4367,NA
100,96,60873,"SUCCESS",15,4372,NA
100,97,60874,"SUCCESS",15,4351,NA
100,98,60875,"SUCCESS",15,4409,NA
100,99,60876,"SUCCESS",15,4414,NA
150,1,65778,"SUCCESS",15,4177,NA
150,10,65787,"SUCCESS",15,4176,NA
150,100,65877,"SUCCESS",15,4703,NA
150,11,65788,"SUCCESS",15,4166,NA
150,12,65789,"SUCCESS",15,4170,NA
150,13,65790,"SUCCESS",15,4370,NA
150,14,65791,"SUCCESS",15,4140,NA
150,15,65792,"SUCCESS",15,4084,NA
150,16,65793,"SUCCESS",15,4144,NA
150,17,65794,"SUCCESS",16,4142,NA
150,18,65795,"SUCCESS",15,4288,NA
150,19,65796,"SUCCESS",15,4139,NA
150,2,65779,"SUCCESS",15,4243,NA
150,20,65797,"SUCCESS",15,4696,NA
150,21,65798,"SUCCESS",16,4642,NA
150,22,65799,"SUCCESS",15,4684,NA
150,23,65800,"SUCCESS",15,4662,NA
150,24,65801,"SUCCESS",15,4359,NA
150,25,65802,"SUCCESS",15,4237,NA
150,26,65803,"SUCCESS",15,4326,NA
150,27,65804,"SUCCESS",15,4790,NA
150,28,65805,"SUCCESS",15,4593,NA
150,29,65806,"SUCCESS",15,4154,NA
150,3,65780,"SUCCESS",15,4725,NA
150,30,65807,"SUCCESS",15,4120,NA
150,31,65808,"SUCCESS",15,4210,NA
150,32,65809,"SUCCESS",16,4146,NA
150,33,65810,"SUCCESS",15,4249,NA
150,34,65811,"SUCCESS",15,4227,NA
150,35,65812,"SUCCESS",15,4099,NA
150,36,65813,"SUCCESS",15,4775,NA
150,37,65814,"SUCCESS",15,4012,NA
150,38,65815,"SUCCESS",15,4715,NA
150,39,65816,"SUCCESS",15,4157,NA
150,4,65781,"SUCCESS",15,4266,NA
150,40,65817,"SUCCESS",15,4168,NA
150,41,65818,"SUCCESS",15,4319,NA
150,42,65819,"SUCCESS",15,4306,NA
150,43,65820,"SUCCESS",15,4710,NA
150,44,65821,"SUCCESS",16,4603,NA
150,45,65822,"SUCCESS",15,4621,NA
150,46,65823,"SUCCESS",15,4109,NA
150,47,65824,"SUCCESS",15,4148,NA
150,48,65825,"SUCCESS",15,4230,NA
150,49,65826,"SUCCESS",15,4174,NA
150,5,65782,"SUCCESS",15,4758,NA
150,50,65827,"SUCCESS",15,4150,NA
150,51,65828,"SUCCESS",15,4093,NA
150,52,65829,"SUCCESS",15,4654,NA
150,53,65830,"SUCCESS",15,4696,NA
150,54,65831,"SUCCESS",15,4095,NA
150,55,65832,"SUCCESS",15,4681,NA
150,56,65833,"SUCCESS",15,4805,NA
150,57,65834,"SUCCESS",15,4178,NA
150,58,65835,"SUCCESS",15,4263,NA
150,59,65836,"SUCCESS",15,4220,NA
150,6,65783,"SUCCESS",15,4077,NA
150,60,65837,"SUCCESS",15,4195,NA
150,61,65838,"SUCCESS",15,4786,NA
150,62,65839,"SUCCESS",16,4163,NA
150,63,65840,"SUCCESS",15,4127,NA
150,64,65841,"SUCCESS",15,4170,NA
150,65,65842,"SUCCESS",15,4745,NA
150,66,65843,"SUCCESS",15,4286,NA
150,67,65844,"SUCCESS",15,4754,NA
150,68,65845,"SUCCESS",16,4180,NA
150,69,65846,"SUCCESS",15,4262,NA
150,7,65784,"SUCCESS",15,4276,NA
150,70,65847,"SUCCESS",15,4394,NA
150,71,65848,"SUCCESS",16,4597,NA
150,72,65849,"SUCCESS",15,4154,NA
150,73,65850,"SUCCESS",15,4257,NA
150,74,65851,"SUCCESS",15,4264,NA
150,75,65852,"SUCCESS",16,4217,NA
150,76,65853,"SUCCESS",15,4747,NA
150,77,65854,"SUCCESS",15,4173,NA
150,78,65855,"SUCCESS",15,4745,NA
150,79,65856,"SUCCESS",15,4230,NA
150,8,65785,"SUCCESS",15,4222,NA
150,80,65857,"SUCCESS",15,4304,NA
150,81,65858,"SUCCESS",15,4353,NA
150,82,65859,"SUCCESS",15,4713,NA
150,83,65860,"SUCCESS",15,4096,NA
150,84,65861,"SUCCESS",15,4266,NA
150,85,65862,"SUCCESS",15,4313,NA
150,86,65863,"SUCCESS",15,4737,NA
150,87,65864,"SUCCESS",15,4194,NA
150,88,65865,"SUCCESS",15,4153,NA
150,89,65866,"SUCCESS",15,4241,NA
150,9,65786,"SUCCESS",16,4679,NA
150,90,65867,"SUCCESS",15,4229,NA
150,91,65868,"SUCCESS",15,4210,NA
150,92,65869,"SUCCESS",15,4805,NA
150,93,65870,"SUCCESS",16,4199,NA
150,94,65871,"SUCCESS",15,4757,NA
150,95,65872,"SUCCESS",16,4204,NA
150,96,65873,"SUCCESS",15,4650,NA
150,97,65874,"SUCCESS",15,4681,NA
150,98,65875,"SUCCESS",15,4180,NA
150,99,65876,"SUCCESS",15,4708,NA
200,1,70778,"SUCCESS",16,4211,NA
200,10,70787,"SUCCESS",15,4553,NA
200,100,70877,"SUCCESS",16,4124,NA
200,11,70788,"SUCCESS",15,4609,NA
200,12,70789,"SUCCESS",15,4698,NA
200,13,70790,"SUCCESS",15,4065,NA
200,14,70791,"SUCCESS",16,4590,NA
200,15,70792,"SUCCESS",16,4179,NA
200,16,70793,"SUCCESS",15,4218,NA
200,17,70794,"SUCCESS",15,3955,NA
200,18,70795,"SUCCESS",15,4088,NA
200,19,70796,"SUCCESS",16,4184,NA
200,2,70779,"SUCCESS",15,4640,NA
200,20,70797,"SUCCESS",16,3983,NA
200,21,70798,"SUCCESS",15,4575,NA
200,22,70799,"SUCCESS",15,4206,NA
200,23,70800,"SUCCESS",15,4696,NA
200,24,70801,"SUCCESS",16,3910,NA
200,25,70802,"SUCCESS",16,4670,NA
200,26,70803,"SUCCESS",15,4708,NA
200,27,70804,"SUCCESS",16,4119,NA
200,28,70805,"SUCCESS",15,4085,NA
200,29,70806,"SUCCESS",15,4134,NA
200,3,70780,"SUCCESS",15,4133,NA
200,30,70807,"SUCCESS",16,4599,NA
200,31,70808,"SUCCESS",17,4073,NA
200,32,70809,"SUCCESS",16,4126,NA
200,33,70810,"SUCCESS",15,4006,NA
200,34,70811,"SUCCESS",16,4720,NA
200,35,70812,"SUCCESS",16,4633,NA
200,36,70813,"SUCCESS",15,4173,NA
200,37,70814,"SUCCESS",16,3883,NA
200,38,70815,"SUCCESS",16,4647,NA
200,39,70816,"SUCCESS",15,4088,NA
200,4,70781,"SUCCESS",15,4084,NA
200,40,70817,"SUCCESS",16,4565,NA
200,41,70818,"SUCCESS",17,4079,NA
200,42,70819,"SUCCESS",16,4586,NA
200,43,70820,"SUCCESS",15,4621,NA
200,44,70821,"SUCCESS",15,3989,NA
200,45,70822,"SUCCESS",15,4154,NA
200,46,70823,"SUCCESS",15,4514,NA
200,47,70824,"SUCCESS",15,4657,NA
200,48,70825,"SUCCESS",15,4153,NA
200,49,70826,"SUCCESS",15,4070,NA
200,5,70782,"SUCCESS",15,4685,NA
200,50,70827,"SUCCESS",16,4464,NA
200,51,70828,"SUCCESS",15,4628,NA
200,52,70829,"SUCCESS",16,4639,NA
200,53,70830,"SUCCESS",17,4026,NA
200,54,70831,"SUCCESS",16,4541,NA
200,55,70832,"SUCCESS",15,4148,NA
200,56,70833,"SUCCESS",16,4161,NA
200,57,70834,"SUCCESS",15,4734,NA
200,58,70835,"SUCCESS",15,4234,NA
200,59,70836,"SUCCESS",15,4666,NA
200,6,70783,"SUCCESS",15,3992,NA
200,60,70837,"SUCCESS",16,4064,NA
200,61,70838,"SUCCESS",15,4700,NA
200,62,70839,"SUCCESS",15,4305,NA
200,63,70840,"SUCCESS",15,4093,NA
200,64,70841,"SUCCESS",15,4101,NA
200,65,70842,"SUCCESS",17,4099,NA
200,66,70843,"SUCCESS",15,4714,NA
200,67,70844,"SUCCESS",15,4199,NA
200,68,70845,"SUCCESS",16,4098,NA
200,69,70846,"SUCCESS",15,4603,NA
200,7,70784,"SUCCESS",16,4140,NA
200,70,70847,"SUCCESS",15,4124,NA
200,71,70848,"SUCCESS",15,4571,NA
200,72,70849,"SUCCESS",16,4163,NA
200,73,70850,"SUCCESS",15,4590,NA
200,74,70851,"SUCCESS",17,4223,NA
200,75,70852,"SUCCESS",16,4105,NA
200,76,70853,"SUCCESS",16,4024,NA
200,77,70854,"SUCCESS",15,4011,NA
200,78,70855,"SUCCESS",18,4540,NA
200,79,70856,"SUCCESS",16,4040,NA
200,8,70785,"SUCCESS",15,4183,NA
200,80,71634,"SUCCESS",15,4597,NA
200,81,70858,"SUCCESS",16,3918,NA
200,82,70859,"SUCCESS",16,4517,NA
200,83,70860,"SUCCESS",17,4550,NA
200,84,70861,"SUCCESS",15,4662,NA
200,85,70862,"SUCCESS",18,4077,NA
200,86,70863,"SUCCESS",16,4201,NA
200,87,70864,"SUCCESS",16,4169,NA
200,88,70865,"SUCCESS",15,4170,NA
200,89,70866,"SUCCESS",17,4103,NA
200,9,70786,"SUCCESS",15,4643,NA
200,90,70867,"SUCCESS",15,4134,NA
200,91,70868,"SUCCESS",16,4031,NA
200,92,70869,"SUCCESS",15,4206,NA
200,93,70870,"SUCCESS",15,4608,NA
200,94,70871,"SUCCESS",15,4652,NA
200,95,70872,"SUCCESS",15,4136,NA
200,96,70873,"SUCCESS",16,4642,NA
200,97,70874,"SUCCESS",16,3943,NA
200,98,70875,"SUCCESS",15,4093,NA
200,99,70876,"SUCCESS",15,4025,NA
250,1,75778,"SUCCESS",15,4113,NA
250,10,75787,"SUCCESS",16,3952,NA
250,100,75877,"SUCCESS",15,3930,NA
250,11,75788,"SUCCESS",16,4039,NA
250,12,75789,"SUCCESS",18,4115,NA
250,13,75790,"SUCCESS",16,4599,NA
250,14,75791,"SUCCESS",17,4141,NA
250,15,75792,"SUCCESS",17,4079,NA
250,16,75793,"SUCCESS",17,4444,NA
250,17,75794,"SUCCESS",15,4629,NA
250,18,75795,"SUCCESS",17,3957,NA
250,19,75796,"SUCCESS",17,4729,NA
250,2,75779,"SUCCESS",17,4005,NA
250,20,75797,"SUCCESS",15,4582,NA
250,21,75798,"SUCCESS",15,4027,NA
250,22,75799,"SUCCESS",17,3936,NA
250,23,75800,"SUCCESS",16,4203,NA
250,24,75801,"SUCCESS",15,3868,NA
250,25,75802,"SUCCESS",15,4532,NA
250,26,75803,"SUCCESS",17,4165,NA
250,27,75804,"SUCCESS",16,3947,NA
250,28,75805,"SUCCESS",17,4377,NA
250,29,75806,"SUCCESS",16,4555,NA
250,3,75780,"SUCCESS",16,4188,NA
250,30,75807,"SUCCESS",16,4586,NA
250,31,75808,"SUCCESS",17,4621,NA
250,32,75809,"SUCCESS",15,4476,NA
250,33,75810,"SUCCESS",17,3957,NA
250,34,75811,"SUCCESS",17,3983,NA
250,35,75812,"SUCCESS",15,4134,NA
250,36,76590,"SUCCESS",16,3980,NA
250,37,75814,"SUCCESS",16,4041,NA
250,38,75815,"SUCCESS",17,3946,NA
250,39,75816,"SUCCESS",17,4517,NA
250,4,75781,"SUCCESS",18,3993,NA
250,40,75817,"SUCCESS",16,4308,NA
250,41,75818,"SUCCESS",18,3798,NA
250,42,75819,"SUCCESS",15,4702,NA
250,43,75820,"SUCCESS",17,3942,NA
250,44,75821,"SUCCESS",17,3981,NA
250,45,75822,"SUCCESS",17,4514,NA
250,46,75823,"SUCCESS",16,3783,NA
250,47,75824,"SUCCESS",16,4534,NA
250,48,75825,"SUCCESS",16,4537,NA
250,49,75826,"SUCCESS",15,4444,NA
250,5,75782,"SUCCESS",19,3866,NA
250,50,75827,"SUCCESS",16,4004,NA
250,51,75828,"SUCCESS",18,3996,NA
250,52,75829,"SUCCESS",17,4080,NA
250,53,75830,"SUCCESS",18,4077,NA
250,54,75831,"SUCCESS",17,3916,NA
250,55,75832,"SUCCESS",15,3912,NA
250,56,75833,"SUCCESS",16,4507,NA
250,57,75834,"SUCCESS",16,4131,NA
250,58,75835,"SUCCESS",15,4190,NA
250,59,75836,"SUCCESS",17,4239,NA
250,6,75783,"SUCCESS",17,4508,NA
250,60,75837,"SUCCESS",16,4465,NA
250,61,75838,"SUCCESS",15,4199,NA
250,62,75839,"SUCCESS",19,3868,NA
250,63,75840,"SUCCESS",15,4045,NA
250,64,75841,"SUCCESS",15,3866,NA
250,65,75842,"SUCCESS",15,4065,NA
250,66,75843,"SUCCESS",17,4621,NA
250,67,75844,"SUCCESS",17,4616,NA
250,68,75845,"SUCCESS",17,3941,NA
250,69,75846,"SUCCESS",17,4023,NA
250,7,75784,"SUCCESS",16,3954,NA
250,70,75847,"SUCCESS",15,4076,NA
250,71,75848,"SUCCESS",17,4528,NA
250,72,75849,"SUCCESS",15,4083,NA
250,73,75850,"SUCCESS",16,4153,NA
250,74,75851,"SUCCESS",16,4065,NA
250,75,75852,"SUCCESS",16,4382,NA
250,76,75853,"SUCCESS",16,4458,NA
250,77,75854,"SUCCESS",15,4473,NA
250,78,75855,"SUCCESS",17,4490,NA
250,79,75856,"SUCCESS",17,4576,NA
250,8,75785,"SUCCESS",16,4159,NA
250,80,75857,"SUCCESS",15,4479,NA
250,81,75858,"SUCCESS",16,4519,NA
250,82,75859,"SUCCESS",16,4033,NA
250,83,75860,"SUCCESS",16,4077,NA
250,84,75861,"SUCCESS",17,3903,NA
250,85,75862,"SUCCESS",16,3863,NA
250,86,75863,"SUCCESS",16,3899,NA
250,87,75864,"SUCCESS",18,3886,NA
250,88,75865,"SUCCESS",17,4578,NA
250,89,75866,"SUCCESS",17,3867,NA
250,9,75786,"SUCCESS",15,3955,NA
250,90,75867,"SUCCESS",17,3941,NA
250,91,75868,"SUCCESS",17,4052,NA
250,92,75869,"SUCCESS",16,4431,NA
250,93,75870,"SUCCESS",19,3845,NA
250,94,75871,"SUCCESS",18,4166,NA
250,95,75872,"SUCCESS",17,4533,NA
250,96,75873,"SUCCESS",15,3917,NA
250,97,75874,"SUCCESS",17,4171,NA
250,98,75875,"SUCCESS",18,4498,NA
250,99,75876,"SUCCESS",19,4090,NA
300,1,80778,"SUCCESS",16,4128,NA
300,10,80787,"SUCCESS",19,3982,NA
300,100,80877,"SUCCESS",18,3980,NA
300,11,80788,"SUCCESS",17,4448,NA
300,12,80789,"SUCCESS",16,3970,NA
300,13,80790,"SUCCESS",17,4189,NA
300,14,80791,"SUCCESS",19,4037,NA
300,15,80792,"SUCCESS",19,3712,NA
300,16,80793,"SUCCESS",18,4505,NA
300,17,80794,"SUCCESS",18,4498,NA
300,18,82349,"SUCCESS",19,3872,NA
300,19,80796,"SUCCESS",17,3985,NA
300,2,80779,"SUCCESS",18,3874,NA
300,20,80797,"SUCCESS",16,3943,NA
300,21,80798,"SUCCESS",16,4010,NA
300,22,80799,"SUCCESS",16,3972,NA
300,23,80800,"SUCCESS",18,4386,NA
300,24,80801,"SUCCESS",16,3990,NA
300,25,80802,"SUCCESS",18,4141,NA
300,26,80803,"SUCCESS",17,3702,NA
300,27,80804,"SUCCESS",18,4449,NA
300,28,80805,"SUCCESS",19,4147,NA
300,29,80806,"SUCCESS",17,4066,NA
300,3,80780,"SUCCESS",19,3815,NA
300,30,80807,"SUCCESS",16,4028,NA
300,31,80808,"SUCCESS",16,4467,NA
300,32,80809,"SUCCESS",17,3985,NA
300,33,80810,"SUCCESS",18,3735,NA
300,34,80811,"SUCCESS",20,3928,NA
300,35,80812,"SUCCESS",17,4452,NA
300,36,80813,"SUCCESS",20,4098,NA
300,37,80814,"SUCCESS",17,3851,NA
300,38,80815,"SUCCESS",17,3740,NA
300,39,80816,"SUCCESS",17,3891,NA
300,4,80781,"SUCCESS",19,3834,NA
300,40,80817,"SUCCESS",17,4042,NA
300,41,80818,"SUCCESS",18,4453,NA
300,42,80819,"SUCCESS",17,4159,NA
300,43,80820,"SUCCESS",21,3824,NA
300,44,80821,"SUCCESS",17,3908,NA
300,45,80822,"SUCCESS",19,3919,NA
300,46,80823,"SUCCESS",19,4353,NA
300,47,80824,"SUCCESS",19,3841,NA
300,48,80825,"SUCCESS",18,4618,NA
300,49,80826,"SUCCESS",18,3928,NA
300,5,80782,"SUCCESS",17,4043,NA
300,50,80827,"SUCCESS",17,3929,NA
